lon,lat,order,x,y,distance,bearing
4.509262,51.865573,1404,94530.38615,431144.8088,28.32512648,88.19901942
4.509672,51.865579,1405,94558.63269,431145.1354,28.25013821,88.64573632
4.510083,51.865574,1407,94586.93333,431144.2376,28.31659777,91.12557627
4.51049,51.865567,1408,94614.9558,431143.1208,28.04641844,91.59115759
4.510896,51.86556,1409,94642.9094,431142.0049,27.97756587,91.59507521
4.511302,51.865553,1410,94670.86302,431140.8892,27.97757021,91.59507497
4.511705,51.865546,1411,94698.61002,431139.7762,27.77100451,91.60694488
4.51211,51.86554,1412,94726.49612,431138.7729,27.90583831,91.37065312
4.512265,51.865537,1413,94737.16763,431138.3106,10.68217315,91.79059749
4.512521,51.865529,1414,94754.78878,431137.2085,17.65665249,92.8895554
4.512936,51.865517,1415,94783.35562,431135.5297,28.61786394,92.67396439
4.513352,51.865504,1416,94811.99001,431133.739,28.69207458,92.88949102
4.513769,51.865491,1417,94840.69329,431131.9477,28.76087911,92.88257187
4.514183,51.865473,1419,94869.18329,431129.6027,28.58808185,94.01704019
4.514595,51.865455,1420,94897.53557,431127.2596,28.45066591,94.03647603
4.514978,51.865438,1421,94923.89184,431125.0518,26.45018849,94.10067603
4.515415,51.86541,1423,94953.95269,431121.5758,30.26299078,95.90859247
4.515831,51.865383,1424,94982.56854,431118.2286,28.81270577,95.98464349
4.516253,51.865355,1425,95011.59634,431114.7654,29.23545264,96.11705266
4.516411,51.865345,1426,95022.46522,431113.5225,10.94037876,95.8370704
4.516675,51.865325,1427,95040.62152,431111.0798,18.32099631,96.97635411
4.517094,51.865292,1428,95069.43611,431107.0631,29.09498556,97.24979745
4.517513,51.86526,1429,95098.25209,431103.1578,29.08117423,97.03233024
4.517913,51.865229,1430,95125.76081,431099.3796,27.76866598,97.1351093
4.518339,51.865188,1432,95155.04702,431094.4677,29.69709644,98.83618899
4.518753,51.865149,1433,95183.50945,431089.7882,28.84628945,98.65164247
4.51917,51.865109,1434,95212.17723,431084.9953,29.06745983,98.80718008
4.519576,51.86507,1435,95240.08876,431080.3227,28.30165679,98.81945422
4.519999,51.865024,1437,95269.16192,431074.8577,29.58417297,99.96235771
4.520403,51.864979,1438,95296.92785,431069.5196,28.27612552,100.1991104
4.520793,51.864937,1439,95323.73355,431064.5269,27.2683592,99.86763341
4.521136,51.864899,1440,95347.30746,431060.018,24.00271645,100.1454126
4.521546,51.864844,1442,95375.47355,431053.5629,28.89807274,102.2255691
4.52194,51.864792,1443,95402.54168,431047.4549,27.75041604,102.0339005
4.522333,51.86474,1444,95429.54099,431041.3479,27.68307941,102.0636123
4.522686,51.864693,1445,95453.79195,431035.83,24.87231435,102.1369602
4.523144,51.864628,1447,95485.25113,431028.2237,32.36762506,102.9109606
4.523551,51.86457,1448,95513.20697,431021.4382,28.76933538,102.9623668
4.523952,51.864513,1449,95540.75095,431014.7689,28.34163806,102.9305768
4.524352,51.864456,1450,95568.22613,431008.1006,28.27453791,102.9617976
4.524752,51.864399,1451,95595.70138,431001.4325,28.27457184,102.9617817
4.525149,51.864342,1452,95622.97007,430994.767,28.07325363,103.056372
4.525548,51.864285,1453,95650.37659,430988.1,28.2075137,102.9931351
4.52594,51.864229,1454,95677.30236,430981.5501,27.71267798,102.993122
4.526328,51.864174,1455,95703.954,430975.1148,27.41924566,102.8960159
4.526525,51.864146,1456,95717.48582,430971.8392,13.92349788,102.9294377
4.526714,51.86412,1457,95730.46928,430968.7926,13.33692893,102.527404
4.5271,51.864068,1458,95756.98725,430962.693,27.21210858,102.2756315
4.527486,51.864015,1459,95783.50397,430956.4823,27.23601261,102.5043316
4.527884,51.863965,1461,95810.85123,430950.5958,27.97534935,101.4702726
4.528281,51.863918,1462,95838.13361,430945.0439,27.84325322,100.8252742
4.528679,51.86387,1463,95865.48361,430939.3801,27.9320053,101.0228951
4.528842,51.863851,1464,95876.68562,430937.1338,11.42571933,100.6624586
4.529079,51.863826,1465,95892.97668,430934.1599,16.56129676,99.66907991
4.529474,51.863784,1466,95920.12804,430929.1664,27.6084347,99.74488652
4.5299,51.863747,1468,95949.42121,430924.7041,29.63292292,97.98556072
4.530313,51.863711,1469,95977.82033,430920.3637,28.73065387,98.01392917
4.530728,51.863676,1470,96006.35857,430916.1332,28.85188132,97.75697896
4.531046,51.863648,1471,96028.22491,430912.7602,22.1263186,98.09408872
4.531561,51.863627,1473,96063.66931,430910.0064,35.5534072,93.76797591
4.531979,51.863609,1474,96092.43654,430907.6652,28.86413323,93.97855537
4.532405,51.863592,1475,96121.75614,430905.4289,29.40656707,93.68778048
4.532834,51.863574,1476,96151.28108,430903.0791,29.62012829,93.87684476
4.533268,51.863556,1477,96181.15043,430900.7254,29.9637939,93.83230909
4.5337,51.863538,1478,96210.88205,430898.3735,29.82634205,93.84999805
4.533919,51.863529,1479,96225.95451,430897.1952,15.11937538,93.79749405
4.534142,51.86353,1480,96241.31553,430897.1262,15.36212818,89.58492704
4.53458,51.863532,1481,96271.48656,430896.9949,30.17317679,89.5772631
4.534744,51.863533,1482,96282.7838,430896.9737,11.29795943,89.4356651
4.535016,51.863539,1483,96301.52635,430897.4216,18.74905791,87.95935884
4.535452,51.863549,1484,96331.57004,430898.1822,30.05517648,87.87824453
4.53589,51.863558,1485,96361.75017,430898.8301,30.1889539,88.09894914
4.536316,51.863571,1487,96391.10897,430899.9329,29.38132025,87.17802166
4.536631,51.86358,1488,96412.81713,430900.6803,21.72236958,87.35765281
4.537169,51.863611,1490,96449.9136,430903.6957,37.22112915,84.68267458
4.537594,51.863635,1491,96479.21776,430906.0236,29.3983001,84.78826596
4.537808,51.863647,1492,96493.97315,430907.1864,14.80204979,84.82467749
4.538027,51.863665,1493,96509.08071,430909.0127,15.21849462,82.43780903
4.538458,51.863701,1494,96538.81366,430912.6711,29.9590274,82.31635833
4.538892,51.863745,1496,96568.76358,430917.2172,30.29486749,80.70005315
4.539334,51.863792,1497,96599.26835,430922.0909,30.89356091,80.25427723
4.539599,51.863821,1498,96617.55844,430925.1043,18.53782902,79.97598656
4.539779,51.863844,1499,96629.98617,430927.5186,12.6608422,78.33860049
4.540212,51.8639,1500,96659.88258,430933.4011,30.47153974,78.20075695
4.540643,51.863955,1501,96689.63987,430939.1741,30.31399881,78.35335247
4.540804,51.863976,1502,96700.75628,430941.3813,11.33410436,78.10293122
4.541063,51.864018,1503,96718.6498,430945.8462,18.4433118,75.32243246
4.541474,51.864085,1504,96747.04494,430952.9706,29.27708256,75.24834638
