t,date,lat_gps,lon_gps,alt,speed,speed3D,fix,precision,speed_haversine,distance_gps,bearing_gps,speed_geod,x_gps,y_gps,road_index,lon_road,lat_road,order,x_road,y_road,distance_road,bearing_road,offset,section,road type
2480.047107999997,2016-01-01 20:13:01.975000+00:00,51.9385049,4.4302794,0.22253099200001,20.708,74.304,3.0,149.0,20.639767504838,21.537246153155184,-34.92721195226136,20.845268568197348,89197.35213363223,439327.0807846919,2333.0,4.430284,51.938432,3285.0,89197.56164,439318.9665,20.365986,2243484.4922968103,4.542331180429889,M,straight
2481.048107999997,2016-01-01 20:13:02.976000+00:00,51.9386545,4.4301082,0.2145309920000073,20.428,74.124,3.0,149.0,19.842846307625216,20.38851392435149,-35.272744380798,20.368145778578025,89185.79926887588,439343.8788055418,2334.0,4.43011,51.938584,3286.0,89185.81974,439336.0341,20.71773718,2243484.71890986,4.514298474150997,M,straight
2482.049107999997,2016-01-01 20:13:03.977000+00:00,51.9388019,4.4299391,0.3545309920000079,20.203,72.9,3.0,149.0,20.0063611769512,20.10526097969044,-35.33948083193329,20.085175803882468,89174.38765829745,439360.4302017308,2335.0,4.429938,51.938733,3287.0,89174.21105,439352.7661,20.36594072,2243484.49247949,4.595151560102734,M,straight
2483.017912093564,2016-01-01 20:13:04.946000+00:00,51.9389463,4.4297713,0.3915309920000069,19.904,71.928,3.0,149.0,20.69774177094665,19.78159927179907,-35.687388412784486,20.41857523430174,89163.06111707022,439376.6466970619,2336.0,4.429769,51.938881,3288.0,89162.80725,439369.3842,20.15577851,2243484.7862834297,4.395169743151143,M,straight
2484.0282093071864,2016-01-01 20:13:05.956000+00:00,51.9390907,4.4296051,0.5185309920000094,19.737,71.38799999999999,3.0,149.0,18.21221503568996,19.717590806850712,-35.42760420170458,19.516623960739324,89151.84466832175,439392.8617689264,2337.0,4.429601,51.939026,3289.0,89151.4679,439385.6676,19.84385376,2243484.39285197,4.494943969673698,M,straight
2485.019912093564,2016-01-01 20:13:06.948000+00:00,51.9392309,4.4294381,0.2315309920000103,19.479,70.128,3.0,149.0,20.354806568024195,19.37124150932652,-36.36139461363655,19.53331358489424,89140.56712653778,439408.6103418224,2338.0,4.429435,51.939171,3290.0,89140.26614,439401.9493,19.76406829,2243484.71712266,4.093207397039495,M,straight
2486.053107999997,2016-01-01 20:13:07.981000+00:00,51.9393779,4.4292679,0.2385309920000082,19.165,68.94,3.0,149.0,19.092663478504303,20.112816412640203,-35.58825976160588,19.46660482045481,89129.0795949186,439425.11834086303,2339.0,4.429271,51.939314,3291.0,89129.19904,439418.0067,19.50295271,2243484.66943807,4.0151644511581175,M,straight
2487.0541079999966,2016-01-01 20:13:08.982000+00:00,51.9395185,4.4291063,0.300530992000013,19.55,70.524,3.0,149.0,19.327314785873256,19.189628401766285,-35.38947924193636,19.17045794382727,89118.17409315065,439440.906570849,2340.0,4.429109,51.939455,3292.0,89118.26661,439433.8398,19.24185178,2243484.6204559803,4.016158282312081,M,straight
2488.022912093564,2016-01-01 20:13:09.951000+00:00,51.9396603,4.4289419,0.2745309920000096,19.763,71.38799999999999,3.0,176.0,20.525816299709195,19.410137455305765,-35.624519634039416,20.035152188333065,89107.07789307415,439456.8308639441,2341.0,4.428944,51.939598,3293.0,89107.13089,439449.8981,19.54276209,2243484.50512048,3.982223721267413,M,straight
2489.0332093071866,2016-01-01 20:13:10.961000+00:00,51.9398042,4.4287708,0.2085309920000071,20.155,72.756,3.0,176.0,18.63148089475317,19.869856964499,-36.311973258733815,19.667338181856834,89095.5241538315,439472.9948831926,2342.0,4.428776,51.939744,3294.0,89095.79338,439466.2929,19.9343163,2243484.57948459,3.6648906351168784,M,straight
2490.057107999997,2016-01-01 20:13:11.985000+00:00,51.9399473,4.4285955,0.1525309920000097,20.035,72.324,3.0,134.0,19.72742676277484,19.971190198009584,-37.130861282323934,19.505045116520098,89083.68052518736,439489.0737393832,2343.0,4.428605,51.939894,3295.0,89084.25552,439483.1355,20.41675643,2243484.83164196,2.9502757408017164,M,straight
2491.0259120935634,2016-01-01 20:13:12.954000+00:00,51.9400869,4.4284211,0.134530992000009,19.804,71.316,3.0,134.0,20.50879332955029,19.62420776797219,-37.67305130929682,20.256115656702143,89071.89372012163,439504.7624329947,2344.0,4.428434,51.940043,3296.0,89072.71628,439499.8669,20.32587925,2243484.65107932,2.161415490330372,M,straight
2492.0591079999967,2016-01-01 20:13:13.987000+00:00,51.9402363,4.4282372,0.2415309920000083,20.129,72.468,3.0,149.0,19.72737910828615,20.88706294952977,-37.26339090754587,20.21597532420901,89059.46816326791,439521.5500244278,2345.0,4.428267,51.940188,3297.0,89061.44629,439516.1496,19.80372278,2243484.5553217297,1.5202638287544428,M,straight
2493.0279120935634,2016-01-01 20:13:14.956000+00:00,51.9403815,4.4280614,0.5455309920000104,20.504,73.8,3.0,149.0,21.327425667899664,20.178484033764057,-36.80794183438053,20.828239855466947,89047.59347296799,439537.8630465829,2346.0,4.428096,51.940336,3298.0,89049.90573,439532.7698,20.23518418,2243484.4689840702,1.0781903379981814,M,straight
2494.038209307186,2016-01-01 20:13:15.966000+00:00,51.9405297,4.4278861,0.7185309920000122,20.702,74.44800000000001,3.0,134.0,19.2503715620382,20.426382348214823,-36.16964691791807,20.218191313195515,89035.7576467026,439554.5093935492,2347.0,4.427924,51.940487,3299.0,89038.3009,439549.7246,20.54723589,2243484.85394675,0.6748412160799933,M,straight
2495.006496888885,2016-01-01 20:13:16.935000+00:00,51.9406724,4.4277197,1.0385309920000123,21.036,75.70800000000001,3.0,134.0,20.76104158705008,19.571574449404228,-35.78044029898919,20.21256372519609,89024.52577391242,439570.5358145572,2348.0,4.427749,51.940639,3300.0,89026.49134,439566.7935,20.75722114,2243484.56519484,0.568209425111074,M,straight
2496.0309120935635,2016-01-01 20:13:17.959000+00:00,51.9408339,4.4275317,1.4465309920000138,21.142,76.104,3.0,134.0,21.991137017450225,22.13705089411792,-35.733792436761746,21.60945170768544,89011.83641180792,439588.673373578,2349.0,4.427571,51.940794,3301.0,89014.48,439584.1988,21.14879543,2243484.6341974298,0.4340829692713384,M,straight
2497.008496888885,2016-01-01 20:13:18.937000+00:00,51.9409865,4.4273524,1.9465309920000136,20.998,76.284,3.0,151.0,20.52678262117995,20.983978512212783,-35.98677402313433,21.465123652329257,88999.73226140717,439605.812939745,2350.0,4.427391,51.94095,3302.0,89002.3327,439601.7173,21.31916506,2243484.50594291,0.2607902130828699,M,straight
2498.009496888885,2016-01-01 20:13:19.938000+00:00,51.9411372,4.4271763,2.3525309920000126,20.892,75.096,3.0,143.0,20.61702497802961,20.683659094823515,-35.8375431995687,20.662996098720583,88987.84542835939,439622.7382542635,2351.0,4.427213,51.941105,3303.0,88990.32152,439619.1227,21.14874719,2243484.63438587,0.0734618401099975,M,straight
2499.033912093564,2016-01-01 20:13:20.962000+00:00,51.9412946,4.426993,2.823530992000009,20.628,74.124,3.0,143.0,21.51499752013388,21.57790541923213,-35.744296722738,21.06363251997544,88975.47347037565,439640.4155137549,2352.0,4.427038,51.941258,3304.0,88978.51377,439636.3029,20.84788382,2243484.7428589603,-0.1086224803153532,M,straight
2500.011496888885,2016-01-01 20:13:21.940000+00:00,51.9414428,4.4268214,3.3295309920000093,20.378,73.40400000000001,3.0,143.0,20.170170423722173,20.277116909404057,-35.58868204523847,20.74205430204662,88963.8925374514,439657.0586733468,2353.0,4.426865,51.941408,3305.0,88966.8392,439653.1476,20.4960565,2243484.51825955,-0.1293118972297895,M,straight
2501.0124968888854,2016-01-01 20:13:22.941000+00:00,51.9415893,4.4266497,3.7915309920000126,20.365,73.08,3.0,134.0,20.382584099908787,20.127607213488417,-35.9178690390103,20.10749971377055,88952.30230723569,439673.5128264205,2354.0,4.426764,51.941496,3306.0,88960.02408,439663.0293,12.00468264,2243484.65015375,-0.2327177624119098,M,straight
