t,lon_gps,lat_gps,alt,time,duration_local,speed_haversine,distance_gps,bearing_gps,speed_geod,x_gps,y_gps,road_index,lon_road,lat_road,order,x_road,y_road,distance_road,bearing_road,offset,section,road type
1594.6391226198796,4.52788968,51.86402954,44.454,2021-10-21 09:32:52.999000+00:00,1602.999,30.495465793220447,30.58984944458976,101.62279827608752,30.58984944458976,95811.32730640811,430957.7712148664,1381.0,4.52787,51.863967,2053.0,95809.88958,430950.8297,17.60962929,25920820.9265504,-7.088193712219297,G,straight
1595.6391226198796,4.52832697,51.86397455,44.777,2021-10-21 09:32:53.999000+00:00,1603.999,30.643307757443463,30.738225542454245,101.48125015827844,30.738225542454245,95841.37419926422,430951.29769388825,1382.0,4.528308,51.863915,2054.0,95839.98934,430944.6882,30.72181043,25920820.8550344,-6.752032240261991,G,straight
1596.6391226198796,4.52876099,51.86391743,44.731,2021-10-21 09:32:54.999000+00:00,1604.999,30.471839578694635,30.565942074847506,102.00064717870164,30.565942074847506,95871.19314164898,430944.5900498389,1383.0,4.528744,51.863863,2055.0,95869.95143,430938.5485,30.58654863,25920820.9036264,-6.167359370419702,G,straight
1597.6391226198796,4.5291941,51.86385988,44.987,2021-10-21 09:32:55.999000+00:00,1605.999,30.420787671387483,30.51466951848092,102.1129766143498,30.51466951848092,95900.9489187173,430937.83548577,1384.0,4.529182,51.863815,2057.0,95900.05659,430932.8524,30.6411784,25920820.0376603,-5.062340515120818,G,straight
1598.6391226198796,4.52962242,51.8638055,45.282,2021-10-21 09:32:56.999000+00:00,1606.999,30.02638541960613,30.119335049547544,101.5886550842981,30.119335049547544,95930.37901128607,430931.4376532259,1385.0,4.529474,51.863784,2058.0,95920.12804,430929.1664,20.40837044,25920819.73011718,-3.971071599367961,G,straight
1599.6391226198796,4.53004947,51.86375811,45.468,2021-10-21 09:32:57.999000+00:00,1607.999,29.793758518185395,29.886697587114167,100.16157607342706,29.886697587114167,95959.73086988684,430925.8186639335,1386.0,4.530044,51.863735,2060.0,95959.3238,430923.2521,39.64189248,25920817.90475384,-2.5981595765457066,G,straight
1600.6391226198796,4.53047687,51.86371965,45.967,2021-10-21 09:32:58.999000+00:00,1608.999,29.65806455557136,29.751379347259725,98.26956314367644,29.751379347259725,95989.11860487502,430921.1930270544,1387.0,4.530472,51.863698,2061.0,95988.75479,430918.7884,29.76939738,25920817.94871293,-2.431834730699331,G,straight
1601.6391226198796,4.53090283,51.86368654,46.125,2021-10-21 09:32:59.999000+00:00,1609.999,29.480057041485946,29.573205114040768,97.1558392250705,29.573205114040768,96018.41421772585,430917.163919465,1388.0,4.530897,51.863661,2062.0,96017.9792,430914.3273,29.56476146,25920818.00409263,-2.8695590095809127,G,straight
1602.6391226198796,4.53132464,51.86365841,45.975,2021-10-21 09:33:00.999000+00:00,1610.999,29.132716535163752,29.22507152483335,96.14775294929156,29.22507152483335,96047.4305553329,430913.6923741295,1390.0,4.531322,51.863637,2064.0,96047.22068,430911.3126,19.05202364,25920813.68313986,-2.3883409687673507,G,straight
1603.6391226198796,4.53174049,51.86363393,45.821,2021-10-21 09:33:01.999000+00:00,1611.999,28.68452260857229,28.775642564127228,95.43130555484328,28.775642564127228,96076.0411983642,430910.6318901719,1391.0,4.531739,51.863619,2065.0,96075.91903,430908.9721,28.79540678,25920813.98806719,-1.6642677363759053,G,straight
