trip_nr,dev_nr,sections,trip_name,signal_name,EWM_SPAN,LOOKBACK_DISTDIFF,LANE_CHANGE_DURATION,ROLLING_SUM_SIZE,CUTOFF_THRESHOLD,precision,recall,f1,timestamp
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.7294117647058823,0.7848101265822784,0.7560975609756098,2022-02-09 14:31:07
1,1,all,02 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.6039603960396039,0.8133333333333334,0.6931818181818182,2022-02-09 14:31:07
0,1,all,01 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.6,0.8181818181818182,0.6923076923076923,2022-02-09 14:31:07
2,0,all,03 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.6086956521739131,0.717948717948718,0.6588235294117647,2022-02-09 14:31:07
1,0,all,02 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.5412844036697247,0.8194444444444444,0.6519337016574586,2022-02-09 14:31:07
0,0,all,01 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,2.1999999999999997,0.6,0.8181818181818182,0.6923076923076923,2022-02-09 14:31:06
2,4,all,03 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.6210526315789474,0.7763157894736842,0.6900584795321637,2022-02-09 14:31:06
1,4,all,02 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.5545454545454546,0.8356164383561644,0.6666666666666666,2022-02-09 14:31:06
0,4,all,01 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.6438356164383562,0.8703703703703703,0.7401574803149606,2022-02-09 14:31:06
2,3,all,03 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.5566037735849056,0.7662337662337663,0.644808743169399,2022-02-09 14:31:06
1,3,all,02 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.43846153846153846,0.7808219178082192,0.5615763546798029,2022-02-09 14:31:06
0,3,all,01 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.4387755102040816,0.7962962962962963,0.5657894736842105,2022-02-09 14:31:06
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.7126436781609196,0.7948717948717948,0.7515151515151515,2022-02-09 14:31:06
1,1,all,02 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.5740740740740741,0.8378378378378378,0.6813186813186813,2022-02-09 14:31:06
0,1,all,01 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.5875,0.8703703703703703,0.7014925373134329,2022-02-09 14:31:06
2,0,all,03 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.5619047619047619,0.7564102564102564,0.644808743169399,2022-02-09 14:31:06
1,0,all,02 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.5213675213675214,0.8591549295774648,0.648936170212766,2022-02-09 14:31:05
0,0,all,01 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.9999999999999998,0.5853658536585366,0.8727272727272727,0.7007299270072993,2022-02-09 14:31:05
2,4,all,03 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.6226415094339622,0.8461538461538461,0.717391304347826,2022-02-09 14:31:05
1,4,all,02 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.5350877192982456,0.8472222222222222,0.6559139784946236,2022-02-09 14:31:05
0,4,all,01 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.6266666666666667,0.8703703703703703,0.7286821705426356,2022-02-09 14:31:05
2,3,all,03 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.5391304347826087,0.8051948051948052,0.6458333333333334,2022-02-09 14:31:05
1,3,all,02 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.4316546762589928,0.821917808219178,0.5660377358490566,2022-02-09 14:31:05
0,3,all,01 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.41284403669724773,0.8333333333333334,0.5521472392638037,2022-02-09 14:31:05
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.6907216494845361,0.8481012658227848,0.7613636363636364,2022-02-09 14:31:05
1,1,all,02 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.5677966101694916,0.9054054054054054,0.6979166666666666,2022-02-09 14:31:04
0,1,all,01 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.5764705882352941,0.9074074074074074,0.7050359712230215,2022-02-09 14:31:04
2,0,all,03 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.5603448275862069,0.8227848101265823,0.6666666666666666,2022-02-09 14:31:04
1,0,all,02 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.5,0.8873239436619719,0.6395939086294417,2022-02-09 14:31:04
0,0,all,01 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.7999999999999998,0.5274725274725275,0.8888888888888888,0.6620689655172414,2022-02-09 14:31:04
2,4,all,03 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.5689655172413793,0.8461538461538461,0.6804123711340206,2022-02-09 14:31:04
1,4,all,02 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.4918032786885246,0.8108108108108109,0.6122448979591837,2022-02-09 14:31:04
0,4,all,01 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.5833333333333334,0.9245283018867925,0.7153284671532847,2022-02-09 14:31:04
2,3,all,03 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.5462184873949579,0.8333333333333334,0.6598984771573604,2022-02-09 14:31:04
1,3,all,02 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.39473684210526316,0.8450704225352113,0.5381165919282511,2022-02-09 14:31:04
0,3,all,01 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.38461538461538464,0.8333333333333334,0.5263157894736842,2022-02-09 14:31:03
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.6666666666666666,0.9113924050632911,0.7700534759358288,2022-02-09 14:31:03
1,1,all,02 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.5573770491803278,0.9315068493150684,0.6974358974358974,2022-02-09 14:31:03
0,1,all,01 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.5581395348837209,0.8888888888888888,0.6857142857142857,2022-02-09 14:31:03
2,0,all,03 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.5691056910569106,0.8860759493670886,0.693069306930693,2022-02-09 14:31:03
1,0,all,02 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.5114503816793893,0.9305555555555556,0.6600985221674877,2022-02-09 14:31:03
